simplified,pinyin,translation_en-US,is_radical
一,yi1,one,true
丨,shu4/gun3,line,true
丶,dian3/zhu3,dot,true
丿,pie3,bend,true
乙,yi3,second,true
⺃,yi3,second,true
乚,yi3,second,true
⺄,yi3,second,true
亅,gou1/jue2,hook,true
二,er4,two,true
亠,tou2,lid,true
人,ren2,human,true
亻,ren2,human,true
儿,er2,legs,true
入,ru4,enter,true
八,ba1,eight/divide,true
丷,ba1,eight/divide,true
冂,jiong1,upside down box,true
⺆,jiong1,upsode down box,true
冖,mi4,cover,true
冫,bing1,ice,true
⺀,bing1,ice,true
几,ji1,table,true
⺇,ji1,table,true
凵,qian3,container,true
刀,dao1,knife,true
刂,dao1,knife,true
⺈,dao1,knife,true
⺉,dao1,knife,true
力,li4,power/force,true
勹,bao1,wrap,true
匕,bi3,spoon,true
匚,fang1,box,true
匸,xi3/xi4,hiding enclosure,true
十,shi2,ten,true
⺊,bu3,divination,true
卜,bu3,divination,true
卩,jie2,seal,true
⺋,jie2,seal,true
厂,han3,cliff,true
⺁,han3,cliff,true
厶,si1,private,true
又,you4,right hand,true
口,kou3,mouth,true
囗,wei2,enclosure,true
土,tu3,earth,true
士,shi4,scholar,true
夂,zhi3,go,true
夊,sui1,go slowly,true
夕,xi1,evening/unset,true
大,da4,big,true
女,nu:3,woman,true
子,zi3,child,true
宀,mian2,roof,true
寸,cun4,thumb,true
小,xiao3,small,true
⺌,xiao3,small,true
⺍,xiao3,small,true
尢,wang1,lame,true
⺐,wang1,lame,true
尣,wang1,lame,true
⺑,wang1,lame,true
⺎,wang1,lame,true
尸,shi1,corpse,true
屮,che4,sprout,true
山,shan1,mountain,true
巛,chuan1,river,true
川,chuan1,river,true
巜,chuan1,river,true
工,gong1,work,true
己,ji3,oneself,true
巳,ji3,oneself,true
⺒,ji3,oneself,true
已,ji3,oneself,true
巾,jin1,turban/scarf,true
干,gan1,dry,true
幺,yao1,short/tiny,true
⺓,yao1,short/tiny,true
广,guang3,house on cliff,true
廴,yin3,long stride,true
廿,gong3,two hands/twenty,true
弋,yi4,arrow,true
弓,gong1,bow,true
彐,ji4,pig snout,true
⺕,ji4,pig snout,true
彑,ji4,pig snout,true
⺔,ji4,pig snout,true
彡,shan1,bristle/beard,true
彳,chi4,step,true
心,xin1,heart,true
忄,xin1,heart,true
⺗,xin1,heart,true
戈,ge1,spear,true
戶,hu4,door/house,true
户,hu4,door/house,true
戸,hu4,door/house,true
手,shou3,hand,true
扌,shou3,hand,true
龵,shou3,hand,true
⺘,shou3,hand,true
支,zhi1,branch,true
攴,pu1,knock,true
攵,pu1,knock,true
⺙,pu1,knock,true
文,wen2,script/literature,true
斗,dou3,dipper,true
斤,jin1,axe,true
方,fang1,square/raft,true
无,wu2,have not,true
旡,wu2,have not,true
⺛,wu2,have not,true
日,ri4,sun/day,true
⺜,ri4,sun/day,true
曰,yue1,say,true
月,yue4,moon,true
⺝,yue4,moon,true
木,mu4,tree,true
欠,qian4,yawn,true
止,zhi3,stop,true
歹,dai3,death/decay,true
歺,dai3,death/decay,true
⺞,dai3,death/decay,true
殳,shu1,weapon/lance,true
毋,mu3/wu2,do not/mother,true
母,mu3/wu2,do not/mother,true
⺟,mu3/wu2,do not/mother,true
比,bi3,compare/compete,true
毛,mao2,fur/hair,true
氏,shi4,clan,true
气,qi4,steam/breath,true
水,shui3,water,true
氵,shui3,water,true
氺,shui3,water,true
⺢,shui3,water,true
火,huo3,fire,true
灬,huo3,fire,true
⺣,huo3,fire,true
爪,zhao3,claw/talon,true
⺤,zhao3,claw/talon,true
爫,zhao3,claw/talon,true
⺥,zhao3,claw/talon,true
父,fu4,father,true
爻,yao2,mix/twine/cross,true
爿,qiang2,split wood,true
丬,qiang2,split wood,true
⺦,qiang2,split wood,true
片,pian4,a slice,true
牙,ya2,fang,true
牛,ni2,cow,true
牜,ni2,cow,true
⺧,ni2,cow,true
犬,quan3,dog,true
犭,quan3,dog,true
⺨,quan3,dog,true
玄,xuan2,dark/profound,true
玉,yu4,jade,true
⺩,yu4,jade,true
玊,yu4,jade,true
王,yu4,jade,true
瓜,gua1,melon,true
瓦,wa3,tile,true
甘,gan1,sweet,true
生,sheng1,life,true
用,yong4,use,true
田,tian2,field,true
疋,pi3,bolt of cloth,true
⺪,pi3,bolt of cloth,true
疒,ne4,sickness,true
癶,bo1,footsteps,true
白,bai2,white,true
皮,pi2,skin,true
皿,min3,dish,true
目,mu4,eye,true
⺫,mu4,eye,true
矛,mao2,spear,true
矢,shi3,arrow,true
石,shi2,stone,true
示,shi4,sign/spirit,true
礻,shi4,sign/spirit,true
⺭,shi4,sign/spirit,true
⺬,shi4,sign/spirit,true
禸,rou2,track,true
禾,he2,grain,true
穴,xue2,cave,true
立,li4,stand erect,true
竹,zhu2,bamboo,true
⺮,zhu2,bamboo,true
米,mi3,rice,true
糸,mi4/si1,silk,true
糹,mi4/si1,silk,true
纟,mi4/si1,silk,true
⺯,mi4/si1,silk,true
⺰,mi4/si1,silk,true
缶,fou3,jar,true
网,wang3,net,true
罒,wang3,net,true
⺲,wang3,net,true
罓,wang3,net,true
⺵,wang3,net,true
⺳,wang3,net,true
⺱,wang3,net,true
⺴,wang3,net,true
羊,yang2,sheep,true
⺶,yang2,sheep,true
⺷,yang2,sheep,true
羽,yu3,feather,true
老,lao3,old,true
耂,lao3,old,true
⺹,lao3,old,true
而,er2,and,true
耒,lei3,plow/plough,true
耳,er3,ear,true
聿,yu4,brush,true
⺺,yu4,brush,true
⺻,yu4,brush,true
肉,rou4,meat,true
⺼,rou4,meat,true
臣,chen2,minister/official,true
自,zi4,self,true
至,zhi4,arrive,true
臼,jiu4,mortar,true
⺽,jiu4,mortar,true
舌,she2,tongue,true
舛,chuan3,oppose,true
舟,zhou1,boat,true
艮,gen4,stopping,true
色,se4,color/prettiness,true
艸,cao3,grass,true
艹,cao3,grass,true
⺾,cao3,grass,true
⺿,cao3,grass,true
⻀,cao3,grass,true
虍,hu1,tiger,true
虫,chong2,insect,true
血,xue4,blood,true
行,xing2,walk,true
衣,yi1,clothes,true
衤,yi1,clothes,true
⻂,yi1,clothes,true
西,ya4/xi1,west,true
⻄,ya4/xi1,west,true
襾,ya4/xi1,west,true
覀,ya4/xi1,west,true
⻃,ya4/xi1,west,true
見,jian4,see,true
见,jian4,see,true
⻅,jian4,see,true
角,jiao3,horn,true
⻆,jiao3,horn,true
⻇,jiao3,horn,true
言,yan2,speech,true
訁,yan2,speech,true
讠,yan2,speech,true
⻈,yan2,speech,true
谷,gu3,valley,true
豆,dou4,bean,true
豕,shi3,pig,true
豸,zhi4,cat/badger,true
貝,bei4,shell,true
贝,bei4,shell,true
⻉,bei4,shell,true
赤,chi4,red/bare,true
走,zou3,run,true
赱,zou3,run,true
足,zu2,foot,true
⻊,zu2,foot,true
身,shen1,body,true
車,che1,car,true
车,che1,car,true
⻋,che1,car,true
辛,xin1,bitter,true
辰,chen2,morning,true
辵,chuo4,walk,true
辶,chuo4,walk,true
⻌,chuo4,walk,true
⻍,chuo4,walk,true
⻎,chuo4,walk,true
邑,yi4,town,true
阝,yi4,town,true
⻏,yi4,town,true
酉,you3,wine/alcohol,true
釆,bian4,distinguish/choose,true
里,li3,village/mile,true
金,jin1,metal/gold,true
釒,jin1,metal/gold,true
钅,jin1,metal/gold,true
⻐,jin1,metal/gold,true
長,chang2,long/grow,true
镸,chang2,long/grow,true
长,chang2,long/grow,true
⻑,chang2,long/grow,true
⻒,chang2,long/grow,true
⻓,chang2,long/grow,true
門,men2,gate,true
门,men2,gate,true
⻔,men2,gate,true
阜,fu4,mound/dam,true
⻖,fu4,mound/dam,true
⻕,fu4,mound/dam,true
隶,li4,slave/capture,true
隹,zhui1,small bird,true
雨,yu3,rain,true
⻗,yu3,rain,true
青,qing1,green/blue,true
靑,qing1,green/blue,true
⻘,qing1,green/blue,true
非,fei1,wrong,true
面,mian4,face,true
靣,mian4,face,true
革,ge2,leather,true
韋,wei2,tanned leather,true
韦,wei2,tanned leather,true
⻙,wei2,tanned leather,true
韭,jiu3,leek,true
音,yin1,sound,true
頁,ye4,leaf,true
页,ye4,leaf,true
⻚,ye4,leaf,true
風,feng1,wind,true
风,feng1,wind,true
⻛,feng1,wind,true
飛,fei1,fly,true
飞,fei1,fly,true
⻜,fei1,fly,true
食,shi2,eat/food,true
⻝,shi2,eat/food,true
饣,shi2,eat/food,true
⻞,shi2,eat/food,true
⻟,shi2,eat/food,true
⻠,shi2,eat/food,true
首,shou3,head,true
⻡,shou3,head,true
香,xiang1,fragrant,true
馬,ma3,horse,true
马,ma3,horse,true
⻢,ma3,horse,true
骨,gu3,bone,true
⻣,gu3,bone,true
高,gao1,tall,true
髙,gao1,tall,true
髟,biao1,long hair,true
鬥,dou4,fight,true
鬯,chang4,herbs/sacrificial wine,true
鬲,li4,tripod/cauldron,true
鬼,gui3,ghost/demon,true
⻤,gui3,ghost/demon,true
魚,yu2,fish,true
鱼,yu2,fish,true
⻥,yu2,fish,true
鳥,niao3,bird,true
鸟,niao3,bird,true
⻦,niao3,bird,true
鹵,lu3,salt,true
卤,lu3,salt,true
⻧,lu3,salt,true
鹿,lu4,deer,true
麥,mai4,wheat,true
麦,mai4,wheat,true
⻨,mai4,wheat,true
麻,ma2,hemp,true
黃,huang2,yellow,true
⻩,huang2,yellow,true
黍,shu3,millet,true
黑,hei1,black,true
黹,zhi3,embroidery,true
黽,min3,frog,true
黾,min3,frog,true
⻪,min3,frog,true
鼎,ding3,tripod,true
鼓,gu3,drum,true
鼠,shu3,rat/mouse,true
鼻,bi2,nose,true
齊,qi2,even/uniformly,true
⻫,qi2,even/uniformly,true
齐,qi2,even/uniformly,true
⻬,qi2,even/uniformly,true
齒,chi3,tooth/molar,true
齿,chi3,tooth/molar,true
⻭,chi3,tooth/molar,true
⻮,chi3,tooth/molar,true
龍,long2,dragon,true
龙,long2,dragon,true
⻰,long2,dragon,true
⻯,long2,dragon,true
龜,gui1,turtle,true
龟,gui1,turtle,true
⻱,gui1,turtle,true
⻲,gui1,turtle,true
⻳,gui1,turtle,true
龠,yu4,flute,true
