hsk3.0	traditional	simplified	pinyin	translation
2	啊	啊	ā	particle: used in direct address and exclamation; indicating obviousness/impatience/suggestion; used for confirmation
2	愛情	爱情	àiqíng	god, warmheartedness, affection, love_affair, heart, kindness, tenderness, bosom, love, fondness, romantic love, affectionateness
2	愛人	爱人	ài ren	spouse (PRC), lover (non-PRC), CL:個|个[ge4]
2	安靜	安静	ānjìng	lull, quieten, quiesce, dummy, quiet down, quiet, hush, pipe down, peaceful
2	安全	安全	ānquán	safe, secure
2	白色	白色	báisè	White, white, whiteness, White (as symbol of anticommunism), white (color)
2	班長	班长	bānzhǎng	monitor, (work) team leader, squad leader, team leader, class monitor
2	辦	办	bàn	punish (by law), manage, get ... ready, set_up, buy a fair amount of, set up, run, management, handle, tackle, attend to, do, punish, bring ... to justice
2	辦法	办法	bànfǎ	road, expedient, policy, agency, measure, way, method, means
2	辦公室	办公室	bàngōngshì	agency, office, authority, government agency, bureau
2	半夜	半夜	bàn yè	midnight, in the middle of the night
2	幫助	帮助	bāngzhù	aid, bridge_over, help, bestead, bring_on, tide_over, serve, support, facilitate, accommodate, carry_through, assist, administer, attend_to, assistance, befriend, further, favour
2	飽	饱	bǎo	to eat till full, satisfied
2	報名	报名	bàomíng	register, inscribe, enter, enroll, enrol, enter one's name, sign up, recruit
2	報紙	报纸	bàozhǐ	paper, headliner, newspaper publisher, tabloid, copyreader, newspaper, rag, courant, newsprint, sheet, gazette, dailies
2	北方	北方	běifāng	norland, septentrion, compass north, northern part of country, northernness, northern, magnetic north, northward, north, the North, the northern part of the country
2	背	背	bèi	learn by heart, recite from memory
2	比如	比如	bǐ rú	for example, for instance, such as
2	比如說	比如说	bǐrúshuō	For example
2	筆	笔	bǐ	m.[general]
2	筆記	笔记	bǐjì	short sketches, adversaria, notes, note
2	筆記本	笔记本	bǐ jì běn	notebook (stationery), CL:本[ben3], notebook (computing)
2	必須	必须	bìxū	must
2	邊	边	biān	border, boundary
2	變	变	biàn	change, transform
2	變成	变成	biànchéng	grow_into, change into, go, form, grow into, change state, develop into, turn to, fall, turn_into, be, turn, become, turn into, grow, run, get
2	遍	遍	biàn	m.[activity]
2	表	表	biǎo	table, form, list
2	示	示	shì	to show, to reveal
2	不錯	不错	búcuò	not bad, pretty good;correct, right
2	不但	不但	búdàn	conj.: not only
2	不夠	不够	bù goù	not enough, insufficient, inadequate
2	不過	不过	búguò	conj.: but, however, only
2	不太	不太	butài	Not too
2	不要	不要	búyào	never, noway, don't want, don't (do sth.)
2	不好意思	不好意思	bùhǎoyìsī	embarrassed, be ill at ease, find it embarrassing, feel embarrassed
2	不久	不久	bù jiǔ	not long (after), before too long, soon, soon after
2	不滿	不满	bùmǎn	resentful, dissatisfied
2	不如	不如	bùrú	be unequal/inferior to
2	不少	不少	bùshǎo	det.: a lot of
2	不同	不同	bùtóng	different
2	不行	不行	bù xíng	won't do, be out of the question, be no good, not work, not be capable
2	不一定	不一定	bùyīdìng	not sure, maybe
2	不一會兒	不一会儿	buyīhuìér	Take a short while
2	部分	部分	bùfèn	partial, department, section, partialness, slice, pars, part, det.: part, percent, partage, sphere, component, divvy, segment, portion, fraction, sector, chapter, share, percentage, piece, division, sectional, parcel
2	才	才	cái	then and only then, just now, only (before a number)
2	菜單	菜单	cài dān	menu, CL:份[fen4],張|张[zhang1]
2	參觀	参观	cānguān	visit, tour
2	參加	参加	cānjiā	join, attend, take part in, give (advice/etc.)
2	草	草	cǎo	female (of animals), herb, herbage, female, careless, hasty, grass, rough, wort, draft, straw
2	草地	草地	cǎo dì	lawn, meadow, sod, turf, CL:片[pian4]
2	層	层	céng	m.[proximation]
2	查	查	chá	look into, consult, look up, search, investigate, consultation, audit, examination, investigation, check, examine
2	差不多	差不多	chābùduō	good enough
2	長	长	cháng	long, be strong/good (in/at)
2	常見	常见	chángjiàn	commonly seen
2	常用	常用	cháng yòng	in common usage
2	場	场	cháng	m.[event]
2	超過	超过	chāoguò	overpass, overreach, outwalk, outstrip, overstep, outmarch, distance, pass, overstride, outpace, overtop, surpass, crown, exceed, overtake, preponderate, overrun, top, outrun, go_over, transcend, outrange, transgress, go past, break, excess, overhaul, overshine
2	超市	超市	chāo shì	supermarket, abbr. for 超級市場|超级市场, CL:家[jia1]
2	車輛	车辆	chēliàng	voiture, vehicular traffic, vehicle, cars, vehicle traffic, car, vehicles, carriage, rolling_stock, equipment
2	稱	称	chēng	call
2	成	成	chéng	become, turn into
2	成績	成绩	chéngjī	execution, carrying into action, achievement, result, showing, carrying out, performance, grade, success, doing, batting average
2	成為	成为	chéngwéi	find, join, comprise, turn to, commemorate, sample, entomb, come_up, commence, get hold, learn, add up, necessitate, run, make up, constitute, make, form, come, amount, represent, fall, presage, change, be, turn, turn into, become, line up, come up, shape, portend, foretell, get
2	重複	重复	chóngfù	repeat, duplicate
2	重新	重新	chóngxīn	over_again, newly, afresh, anew, again
2	出發	出发	chūfā	depart, get_off, proceed, take_the_road, part, set out, start from, start out, sidetrack, start/proceed from, stray, take the road, sally out, sally_forth, proceed from, set_off, sally forth, take off, start, set forth, set off, digress, straggle, start off, move
2	出國	出国	chūguó	go abroad (from one's own country)
2	出口	出口	chūkǒu	export
2	出門	出门	chūmén	go_out, go on journey, go out, go on a journey, be away from home
2	出生	出生	chūshēng	be born
2	出現	出现	chūxiàn	appear, arise, emerge
2	出院	出院	chū yuàn	to leave hospital, to be discharged from hospital
2	出租	出租	chūzū	hire, let, rent
2	出租車	出租车	chū zū chē	taxi, (Taiwan) rental car
2	船	船	chuán	bottom, body, ship, catcher, bow, bark, boat, shipboard, prow, watercraft, craft, drone, vessel, keel, sailer
2	吹	吹	chuī	fall through (of plans), wind, fall through, tout, play, gasconade, shoot a line, blow, break up, chuff, vaunt, boast, brag, gas, bluster, talk big, break off, toot, swash, play (wind instruments), huff, puff, land
2	春節	春节	Chūn jié	Spring Festival (Chinese New Year)
2	春天	春天	chūn tiān	spring (season), CL:個|个[ge4]
2	詞	词	cí	vocable, words, phrase, a kind of poetry originating in Tang dyn, statement, a form of classical poetry, part of speech, speech, Ci, Chinese poetry, term, word
2	詞典	词典	cídiǎn	lexicon, dictionary
2	詞語	词语	cí yǔ	word (general term including monosyllables through to short phrases), term (e.g. technical term), expression
2	從小	从小	cóngxiǎo	from childhood, as a child
2	答應	答应	dāyìng	agree, promise
